Filename,Tokens,AWL,TTR,AMP,ANDC,[BEMA],[BYPA],CAUS,CONC,COND,CONJ,[CONT],DEMO,DEMP,DPAR,DWNT,EMPH,EX,FPP1,GER,HDG,INPR,JJ,NEMD,NN,NOMZ,OSUB,[PASS],[PASTP],[PEAS],PHC,PIN,[PIRE],PIT,PLACE,POMD,PRED,[PRESP],[PRIV],PRMD,[PROD],[PUBV],RB,[SERE],[SMP],[SPAU],[SPIN],SPP2,[STPR],[SUAV],SYNE,THAC,[THATD],THVC,TIME,TO,TOBJ,TPP3,TSUB,VBD,VPRT,[WHCL],[WHOBJ],[WHQU],[WHSUB],[WZPAST],[WZPRES],XX0,
2-gemma9b,476,6.12,270,0,0.21,1.47,0,0,0,0,1.05,0,1.05,0.21,0,0.42,0.63,0,0.42,0.63,0,0,11.76,0.21,21.43,7.98,0.63,0.42,0.21,0.63,2.94,10.71,0,0.42,0.21,0.84,0.84,0.84,1.05,0,0,0.42,2.52,0,0,0.21,0,0,0.21,0.63,0,0,0,0.63,0,0.63,0.21,1.47,1.05,0.21,5.88,0,0,0,0,0.42,0.42,0.42,
5-gemma9b,489,5.92,259,0,0.20,0,0,0,0,0.20,0.61,0,0.20,0,0,0,0.41,0,0,1.02,0,0,14.52,0.41,23.31,5.73,0.82,0.20,0,0,1.43,8.38,0,0.61,0.20,1.84,0,0.41,2.04,0,0,0.41,1.84,0,0,0.20,0,0,0,1.02,0,0,0.20,0.41,0,1.64,0.20,2.04,0.61,0,5.11,0,0,0,0.20,0.20,0.41,0.20,
4-gemma9b,451,5.52,248,0,0.44,2.00,0.22,0,0,0.22,0.44,0.89,0.67,0.44,0,0.22,0,0,2.22,0.67,0,0,6.87,0.22,21.73,5.54,0.67,0.22,0,0.44,2.00,10.20,0,0.44,0.22,2.44,0.89,0.67,1.77,0.89,0,0.44,3.55,0,0,0.44,0.44,1.55,0,0.67,0,0.22,0.44,0.22,0,1.55,0,1.33,0.44,0.44,5.10,0.22,0,0,0,0,0,1.11,
3-gemma9b,448,5.67,230,0.22,0.45,1.12,0.22,0,0,0.22,0.67,0.22,0.89,0.89,0,0,1.34,0.22,5.36,3.12,0,0,9.82,0,16.29,4.69,1.12,0.45,0,0.22,1.56,8.71,0,0.45,0,2.01,0.67,0.89,2.68,0.22,0,0.45,2.68,0,0,0,0,0,0,0.67,0,0.22,0.22,0.22,0,1.56,0,0.67,0.22,0,5.58,0,0,0,0,0.22,0,0.45,
9-gemma9b,443,6.18,226,0,0.90,1.13,0,0,0,0,0.23,0.23,0.45,0.45,0,0,0.90,0,0.45,2.03,0,0,11.74,0.90,18.96,9.26,0.45,0.68,0,0,1.35,7.67,0,0.23,0,2.26,0.90,0.23,2.03,0.45,0,0,2.48,0,0,0.23,0,0,0,0.90,0,0,0,0.23,0,2.03,0,0.90,0,0,3.39,0,0,0,0,0.23,0.68,0.68,
6-gemma9b,480,5.96,255,0,1.04,1.25,0,0,0,0.21,0.42,0.42,0.21,0,0,0,0.62,0,0.21,1.04,0,0,11.46,0,22.50,6.25,0.62,0.42,0,0.21,2.29,8.96,0,0.42,0,0.62,0.83,1.04,0.62,0.62,0.21,3.33,3.12,0,0,0.42,0,0.62,0,0.83,0,0,1.25,0.62,0,0.62,0,1.25,0.21,0.21,4.38,0,0,0,0,0.21,0.42,0.21,
1-gemma9b,416,5.86,226,0,1.44,1.68,0,0,0,0,0.24,0.24,0.24,1.20,0,0,1.44,0.24,0.96,0.48,0,0,9.13,0,18.03,8.17,0.48,0.24,0,0,1.20,8.17,0,0.48,0.24,2.40,0.72,0,1.92,0.24,0,0.48,4.33,0,0,0.48,0,0.72,0,0.24,0,0,0.48,0.24,0.24,2.40,0,0.48,0.48,0.48,5.77,0,0,0,0.72,0,0.48,0,
0-gemma9b,432,5.82,208,0.23,0.46,2.31,0,0,0,0,0.23,0,0.93,0.69,0,0,0.69,0,0.46,2.55,0,0,8.80,0,18.75,5.56,0.93,0.23,0.23,0,2.08,8.80,0,0.46,0,1.62,1.85,0.93,2.08,0,0,0.69,3.01,0,0,0.23,0,0.46,0,0,0,0,0,0,0,1.85,0.23,2.55,0.23,0,5.56,0.23,0,0,0,0.23,0.23,0.46,
8-gemma9b,461,6.17,218,0.22,1.08,0.65,0,0,0,0,0,0.43,0.65,0,0,0,0.65,0,0.43,1.30,0,0,14.53,0.87,18.87,14.53,0.43,0.43,0,0,3.47,9.33,0,0.22,0.22,0.65,0.65,0.87,0.87,0,0,0.22,3.04,0,0,0.65,0,0,0,0.87,0,0,0.43,0.22,0,0.22,0,1.74,0.22,0,4.12,0,0,0,0,0,0.22,0.87,
7-gemma9b,429,5.94,226,0,0.23,2.33,0.23,0,0,0,0.23,0,0.70,0.47,0,0,0,0.47,0.23,0.93,0,0,10.26,0.23,18.65,9.79,0.47,0.70,0,0,0.93,7.23,0,0.70,0,2.33,1.86,0,1.17,0,0,0.23,2.80,0.23,0.23,0.47,0,0,0,0.70,0,0,0,0.23,0.23,2.10,0.23,1.17,0.23,0.70,5.13,0.23,0,0,0,0,0.23,0.23,
gemma9b,452.50,5.92,236.60,0.07,0.65,1.39,0.07,0.00,0.00,0.08,0.41,0.24,0.60,0.43,0.00,0.06,0.67,0.09,1.07,1.38,0.00,0.00,10.89,0.28,19.85,7.75,0.66,0.40,0.04,0.15,1.93,8.82,0.00,0.44,0.11,1.70,0.92,0.59,1.62,0.24,0.02,0.67,2.94,0.02,0.02,0.33,0.04,0.33,0.02,0.65,0.00,0.04,0.30,0.30,0.05,1.46,0.09,1.36,0.37,0.20,5.00,0.07,0.00,0.00,0.09,0.15,0.31,0.46,
