Filename,Dimension1,Dimension2,Dimension3,Dimension4,Dimension5,Dimension6,Closest Text Type
2-gemma9b,-19.26,0.27,16,-4.27,10.36,1.17,Scientific exposition
5-gemma9b,-19.33,-3.3,10.26,0.61,8.3,-1.6,Scientific exposition
4-gemma9b,-6.23,-1.04,10.21,1.6,5.25,-1.14,Scientific exposition
3-gemma9b,-4.09,-0.58,9.13,-2.79,11.84,-0.62,Scientific exposition
9-gemma9b,-11.51,-5.63,11.64,3.54,3.39,-1.63,Scientific exposition
6-gemma9b,-15.63,5.94,12.66,-1.37,5.66,-0.86,Learned exposition
1-gemma9b,-2.56,-6.12,11.49,-1.72,2.3,-2.1,Involved persuasion
0-gemma9b,-9.17,0.5,11.47,-5.05,7.07,-1.28,Scientific exposition
8-gemma9b,-18.43,-1.08,22.18,0.67,0.64,-1.19,Learned exposition
7-gemma9b,-12.5,-6.2,9.62,-0.28,2.85,-1.03,Scientific exposition
gemma9b,-11.87,-1.72,12.47,-0.91,5.77,-1.03,Scientific exposition
