Filename,Dimension1,Dimension2,Dimension3,Dimension4,Dimension5,Dimension6,Closest Text Type
9-llama3,-7.63,-3.37,14.09,6.17,11.64,2.76,Scientific exposition
1-llama3,-3.56,-3.25,16.63,-1.03,11.82,1.29,Scientific exposition
6-llama3,-1.77,9.54,16.74,4.04,11.12,-1.49,Scientific exposition
7-llama3,-3.17,-7,6.22,1.66,14.18,3.71,Scientific exposition
0-llama3,-3.72,1.08,13.37,2.01,11.37,-0.43,Scientific exposition
8-llama3,-10.22,-1.92,24.24,5.37,7.29,1.81,Scientific exposition
2-llama3,-6.62,-3.47,16.05,0.64,17.63,0.68,Scientific exposition
5-llama3,-3.25,-3.77,13.63,12.45,13.94,1.38,Scientific exposition
4-llama3,-8.85,-2.99,11.39,-1.46,11.69,2.99,Scientific exposition
3-llama3,6.89,-4.12,18.28,3.76,8.11,0.55,Involved persuasion
llama3,-4.19,-1.93,15.06,3.36,11.88,1.33,Scientific exposition
