Filename,Tokens,AWL,TTR,AMP,ANDC,[BEMA],[BYPA],CAUS,CONC,COND,CONJ,[CONT],DEMO,DEMP,DPAR,DWNT,EMPH,EX,FPP1,GER,HDG,INPR,JJ,NEMD,NN,NOMZ,OSUB,[PASS],[PASTP],[PEAS],PHC,PIN,[PIRE],PIT,PLACE,POMD,PRED,[PRESP],[PRIV],PRMD,[PROD],[PUBV],RB,[SERE],[SMP],[SPAU],[SPIN],SPP2,[STPR],[SUAV],SYNE,THAC,[THATD],THVC,TIME,TO,TOBJ,TPP3,TSUB,VBD,VPRT,[WHCL],[WHOBJ],[WHQU],[WHSUB],[WZPAST],[WZPRES],XX0,
9-llama3,428,5.63,202,0,0.23,1.17,0,0,0,0,2.10,0,0.93,0.47,0,0.23,1.64,0,1.87,0.70,0,0,10.98,0.93,16.12,8.88,0.23,0.23,0,0,2.10,8.64,0,0.47,0.23,1.64,1.40,0.47,2.57,0.70,0,0.47,1.40,0,0,0.23,0,0,0,0.93,0,0,0.47,1.17,0,3.04,0,0.47,1.17,0.47,3.97,0,0,0,0,0,0.23,0.93,
1-llama3,460,5.70,196,0,1.52,2.61,0,0,0,0,1.52,0,0.43,0,0,0.22,0.87,0,1.52,0.87,0.22,0,7.83,0.22,18.26,8.26,0.65,0.22,0,0,2.61,10.65,0,0.22,0,3.70,2.17,0.43,1.52,0,0,0.65,2.61,0.22,0,0.22,0,0,0,0.87,0,0,0,1.09,0,1.96,0.22,0.87,1.52,0,5.65,0,0,0,0.22,0,0,0.22,
6-llama3,461,5.26,204,0.43,0.65,1.52,0.43,0,0,0,1.52,0,0.22,0.87,0,0.22,1.74,0,1.08,1.30,0,0,10.85,0.22,19.52,3.69,0.43,1.08,0,1.52,3.69,10.63,0,0.43,0,2.60,1.52,1.30,1.08,0,0,2.39,1.95,0.22,0,1.08,0,0,0,1.74,0.22,0,1.30,0.43,0,1.30,0.22,0.43,0,1.08,4.34,0.22,0,0,0,0,0,0.65,
7-llama3,470,5.64,213,0,1.06,3.40,0,0,0,0.21,1.91,0,1.49,0.21,0,0.21,0.21,0.64,1.49,0.21,0,0,8.72,0.43,17.87,6.81,0.43,1.49,0,0,0.85,9.36,0,2.13,0.21,2.98,2.77,0,1.70,0.21,0,0,4.68,0.21,0,0.64,0,0,0,0.21,0,0.21,0,1.06,0,2.34,0.43,0.85,0,0,6.38,0,0,0,0,0,0.21,0.43,
0-llama3,534,5.40,225,0,0.56,1.12,0,0,0,0.56,1.31,0.19,0.75,0.37,0,0,0.75,0,0.94,0.56,0,0,9.74,0,18.35,6.37,0.75,0.19,0,0,2.62,7.30,0,0.19,0.37,3.56,0,0.75,1.50,0.56,0,1.50,2.25,0.19,0,0.19,0,0.56,0.19,0.19,0,0,0.37,0.37,0,3.37,0,2.43,0.94,0.56,5.24,0.19,0,0,0,0,0,0.56,
8-llama3,440,5.63,211,0,1.36,1.36,0,0,0,0,0.91,0,0.91,0.45,0,0.23,0.91,0,0.91,0.23,0,0,13.64,0.91,16.59,11.14,0.45,0.45,0,0,4.55,8.86,0,0.45,0.23,1.82,0.91,0.45,1.36,0.23,0,1.14,2.27,0.23,0,0.45,0,0,0,1.59,0,0.23,0.23,0.91,0,1.59,0.23,1.36,0.68,0.23,5.00,0,0,0,0,0.23,0,0.68,
2-llama3,443,5.79,194,0.45,0.23,2.71,0,0,0,0,2.03,0,0.45,0.23,0,0.45,0.90,0.45,1.13,0,0,0,9.93,1.35,15.12,8.35,0.90,0.45,0,0,2.93,10.84,1.58,0.45,0.45,2.48,1.13,0.23,1.35,0,0,0.68,1.58,0.45,0,0,0,0,0,0.45,0,0,0.23,0.90,0,1.13,0.23,2.93,1.13,0,6.77,0,0,0,0,0,0,0.45,
5-llama3,502,5.35,200,0,0.20,2.19,0,0,0,0,1.79,0,0.60,1.00,0,0.20,0.60,0.20,1.00,0,0,0,11.75,0.20,19.52,3.98,0.60,0.80,0,0,2.99,7.77,0,0.80,0,3.78,1.99,0.40,1.99,0.40,0,0.20,3.19,0.20,0,1.00,0,0,0,2.59,0,0,0.40,1.00,0,4.18,0.20,1.99,1.00,0,4.18,0.20,0,0,0,0,0,0.60,
4-llama3,447,5.42,202,0,0.22,2.24,0.22,0.22,0,0.22,1.79,0,0.45,0,0,0.22,0.22,0,1.79,1.34,0,0,6.49,0.22,22.60,5.37,0.45,0.22,0,0.45,2.24,13.42,0.22,0.89,0.45,2.68,1.79,0,1.57,0,0,0.67,3.58,0.67,0,0,0,0,0,0.67,0.22,0.22,0.22,1.57,0,2.01,0,1.57,0,0.67,5.15,0,0,0,0.22,0,0,0.45,
3-llama3,486,5.26,211,0,0.82,3.50,0,0,0,0.21,1.03,0,0.21,1.44,0,0.21,1.44,0,6.38,1.65,0,0,8.64,0.21,14.40,3.29,0.41,1.23,0,0,3.91,8.64,0,1.44,0.21,3.70,2.67,0.41,2.26,0.21,0,0.41,3.09,0.41,0,0.82,0,0,0,0.21,0,0.21,0,1.03,0,3.70,0.41,0.21,0,0,4.94,0,0.21,0,0.21,0,0,0.21,
llama3,467.10,5.51,205.80,0.09,0.69,2.18,0.07,0.02,0.00,0.12,1.59,0.02,0.64,0.50,0.00,0.22,0.93,0.13,1.81,0.69,0.02,0.00,9.86,0.47,17.84,6.61,0.53,0.64,0.00,0.20,2.85,9.61,0.18,0.75,0.21,2.89,1.64,0.44,1.69,0.23,0.00,0.81,2.66,0.28,0.00,0.46,0.00,0.06,0.02,0.95,0.04,0.09,0.32,0.95,0.00,2.46,0.19,1.31,0.64,0.30,5.16,0.06,0.02,0.00,0.07,0.02,0.04,0.52,
